epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2729.43,1.03165,0.84414,1.22601,0.63715,0.73973,0.68495,0.448,1.34515,1.1482,1.44683,0.0004456,0.0004456,0.0004456
58,2778.03,1.06623,0.8679,1.22766,0.60967,0.73797,0.6688,0.43343,1.36912,1.20027,1.4721,0.0004357,0.0004357,0.0004357
59,2826.98,1.07836,0.86042,1.23476,0.67958,0.68133,0.67399,0.43558,1.42226,1.22773,1.49161,0.0004258,0.0004258,0.0004258
60,2870.11,1.03634,0.85618,1.20626,0.6617,0.74835,0.69463,0.44164,1.3806,1.14783,1.47429,0.0004159,0.0004159,0.0004159
61,2920.47,1.05433,0.82803,1.20969,0.64661,0.75615,0.68634,0.44914,1.36028,1.10597,1.44686,0.000406,0.000406,0.000406
62,2965.14,1.05572,0.82921,1.20558,0.67893,0.72295,0.6892,0.4467,1.40054,1.1682,1.47739,0.0003961,0.0003961,0.0003961
63,3010.27,1.04785,0.82495,1.21341,0.69805,0.7153,0.69796,0.45511,1.37539,1.0857,1.46101,0.0003862,0.0003862,0.0003862
64,3056.21,1.0095,0.81396,1.19387,0.70914,0.73325,0.69241,0.4471,1.42068,1.135,1.49706,0.0003763,0.0003763,0.0003763
65,3100.57,1.00187,0.79591,1.19434,0.64686,0.75099,0.68633,0.4558,1.3657,1.06137,1.44305,0.0003664,0.0003664,0.0003664
66,3148.09,0.98129,0.78535,1.1683,0.62781,0.74162,0.69335,0.46009,1.36141,1.09463,1.45292,0.0003565,0.0003565,0.0003565
67,3192.75,1.00783,0.7893,1.20855,0.68001,0.74065,0.70174,0.45456,1.38041,1.14935,1.46856,0.0003466,0.0003466,0.0003466
68,3238.04,0.97734,0.80804,1.17628,0.66658,0.72028,0.71667,0.4566,1.37706,1.11297,1.46226,0.0003367,0.0003367,0.0003367
69,3283.04,0.97276,0.77022,1.18839,0.679,0.72381,0.70097,0.46765,1.38172,1.09042,1.46983,0.0003268,0.0003268,0.0003268
70,3329.77,0.99073,0.77348,1.1784,0.66958,0.74225,0.70975,0.4738,1.36037,1.10979,1.44741,0.0003169,0.0003169,0.0003169
71,3380.28,0.97496,0.76544,1.17394,0.6718,0.76421,0.7083,0.46664,1.37041,1.10749,1.44449,0.000307,0.000307,0.000307
72,3432.81,0.936,0.7481,1.15211,0.65343,0.74432,0.72309,0.47682,1.36485,1.0875,1.45165,0.0002971,0.0002971,0.0002971
73,3482.74,0.96026,0.74977,1.16557,0.64053,0.75312,0.69857,0.45693,1.38113,1.10324,1.47887,0.0002872,0.0002872,0.0002872
74,3534.14,0.95963,0.74518,1.15892,0.68388,0.76291,0.72087,0.46697,1.3844,1.08402,1.47584,0.0002773,0.0002773,0.0002773
75,3576.91,0.96318,0.7387,1.17374,0.70307,0.73823,0.70473,0.44485,1.39134,1.11242,1.49685,0.0002674,0.0002674,0.0002674
76,3620.82,0.9448,0.71779,1.1587,0.71333,0.73868,0.69555,0.43597,1.3797,1.0486,1.4701,0.0002575,0.0002575,0.0002575
77,3662.45,0.96161,0.73183,1.17541,0.71616,0.72185,0.7204,0.46681,1.3554,1.08965,1.45148,0.0002476,0.0002476,0.0002476
78,3707.66,0.93047,0.71642,1.15501,0.6571,0.76678,0.74109,0.48491,1.36597,1.04924,1.44775,0.0002377,0.0002377,0.0002377
79,3754.46,0.93073,0.69978,1.14961,0.67239,0.75974,0.71487,0.46401,1.36527,1.04963,1.47037,0.0002278,0.0002278,0.0002278
80,3803.68,0.89654,0.68358,1.13773,0.67132,0.69411,0.69318,0.44604,1.40002,1.10539,1.48166,0.0002179,0.0002179,0.0002179
81,3849.61,0.91901,0.67421,1.12959,0.68403,0.71988,0.71517,0.45412,1.36355,1.06459,1.46383,0.000208,0.000208,0.000208
82,3894.85,0.89588,0.66504,1.13037,0.70578,0.72399,0.6937,0.44739,1.40061,1.09299,1.50782,0.0001981,0.0001981,0.0001981
83,3940.5,0.89331,0.67909,1.13648,0.65277,0.76714,0.72247,0.47399,1.38648,1.05814,1.49728,0.0001882,0.0001882,0.0001882
84,3984.98,0.88047,0.64604,1.12491,0.69541,0.72477,0.73069,0.48243,1.37759,1.03658,1.48541,0.0001783,0.0001783,0.0001783
85,4030.55,0.89603,0.66241,1.14311,0.71017,0.71751,0.7387,0.48787,1.38594,1.0233,1.48257,0.0001684,0.0001684,0.0001684
86,4080.39,0.89373,0.6737,1.13569,0.68477,0.76296,0.73583,0.48012,1.36939,1.00565,1.47562,0.0001585,0.0001585,0.0001585
87,4127.19,0.87996,0.64853,1.12263,0.71459,0.73565,0.73753,0.47925,1.39755,1.06886,1.50366,0.0001486,0.0001486,0.0001486
88,4173.17,0.92427,0.69183,1.17076,0.7385,0.74087,0.73615,0.4784,1.38837,1.05497,1.49503,0.0001387,0.0001387,0.0001387
89,4219.14,0.87769,0.64899,1.11178,0.72848,0.75371,0.72048,0.48194,1.3868,1.07131,1.48463,0.0001288,0.0001288,0.0001288
90,4262.93,0.86121,0.63742,1.11767,0.73556,0.72761,0.72195,0.46677,1.39215,1.07431,1.49764,0.0001189,0.0001189,0.0001189
91,4319.69,0.84362,0.57597,1.0959,0.70996,0.73863,0.71465,0.44826,1.43823,1.10905,1.56832,0.000109,0.000109,0.000109
92,4369.2,0.82151,0.57376,1.08498,0.70094,0.74968,0.71006,0.4392,1.44562,1.08697,1.57859,9.91e-05,9.91e-05,9.91e-05
93,4417.35,0.83042,0.61071,1.08972,0.73015,0.74474,0.71718,0.43746,1.41799,1.04757,1.55015,8.92e-05,8.92e-05,8.92e-05
94,4461.22,0.7994,0.53292,1.08009,0.71679,0.73375,0.71707,0.44353,1.41519,1.06615,1.53905,7.93e-05,7.93e-05,7.93e-05
95,4505.47,0.81427,0.55073,1.0793,0.72272,0.74999,0.71717,0.4391,1.42383,1.06945,1.53704,6.94e-05,6.94e-05,6.94e-05
96,4552.23,0.80563,0.63081,1.0642,0.73306,0.7446,0.70908,0.44968,1.39479,1.08245,1.51941,5.95e-05,5.95e-05,5.95e-05
97,4596.99,0.78611,0.53079,1.08783,0.7296,0.74344,0.7088,0.45659,1.39618,1.09413,1.52987,4.96e-05,4.96e-05,4.96e-05
98,4642.51,0.76262,0.50375,1.0632,0.7326,0.74323,0.71096,0.46163,1.40138,1.10593,1.53692,3.97e-05,3.97e-05,3.97e-05
99,4688.01,0.76678,0.5064,1.06624,0.72404,0.74137,0.70829,0.45978,1.39966,1.09825,1.53738,2.98e-05,2.98e-05,2.98e-05
100,4732,0.75882,0.48759,1.06017,0.73617,0.73162,0.71061,0.46616,1.39048,1.08767,1.52983,1.99e-05,1.99e-05,1.99e-05
